	...Creating new working directory and empty files
train: 5.00 [180.00/560.00 (0.36%)]	Loss: 1280.61	Error: 23.78
train: 5.01 [240.00/560.00 (0.54%)]	Loss: 1340.19	Error: 23.83
train: 5.01 [300.00/560.00 (0.71%)]	Loss: 1178.71	Error: 22.11
train: 5.01 [360.00/560.00 (0.89%)]	Loss: 1248.84	Error: 23.48
train: 5.01 [420.00/560.00 (1.07%)]	Loss: 1209.09	Error: 22.04
train: 5.01 [480.00/560.00 (1.25%)]	Loss: 1153.16	Error: 22.99
train: 5.01 [540.00/560.00 (1.43%)]	Loss: 1172.31	Error: 24.79
train: 5.02 [560.00/560.00 (1.61%)]	Loss: 1063.49	Error: 21.87


val: 5.00 [60.00/187.00 (0.00%)]	Loss: 3085.72	Error: 39.99
val: 5.01 [120.00/187.00 (0.53%)]	Loss: 2863.13	Error: 36.97
val: 5.01 [180.00/187.00 (1.07%)]	Loss: 2884.65	Error: 38.64
val: 5.02 [187.00/187.00 (1.60%)]	Loss: 2775.79	Error: 37.87


train: 6.00 [60.00/560.00 (0.00%)]	Loss: 1088.85	Error: 21.60
train: 6.00 [120.00/560.00 (0.18%)]	Loss: 995.94	Error: 20.98
train: 6.00 [180.00/560.00 (0.36%)]	Loss: 1028.76	Error: 22.64
train: 6.01 [240.00/560.00 (0.54%)]	Loss: 979.13	Error: 21.43
train: 6.01 [300.00/560.00 (0.71%)]	Loss: 928.18	Error: 20.70
train: 6.01 [360.00/560.00 (0.89%)]	Loss: 895.87	Error: 20.18
train: 6.01 [420.00/560.00 (1.07%)]	Loss: 916.65	Error: 20.48
train: 6.01 [480.00/560.00 (1.25%)]	Loss: 914.25	Error: 21.61
train: 6.01 [540.00/560.00 (1.43%)]	Loss: 807.43	Error: 20.78
train: 6.02 [560.00/560.00 (1.61%)]	Loss: 975.88	Error: 23.14


val: 6.00 [60.00/187.00 (0.00%)]	Loss: 1657.04	Error: 28.48
val: 6.01 [120.00/187.00 (0.53%)]	Loss: 1613.25	Error: 28.65
val: 6.01 [180.00/187.00 (1.07%)]	Loss: 1648.56	Error: 27.85
val: 6.02 [187.00/187.00 (1.60%)]	Loss: 1759.90	Error: 29.67


Saving State Dict: new best loss is tensor(6678.7510, device='cuda:0')
train: 7.00 [60.00/560.00 (0.00%)]	Loss: 747.37	Error: 19.59
train: 7.00 [120.00/560.00 (0.18%)]	Loss: 735.09	Error: 19.88
train: 7.00 [180.00/560.00 (0.36%)]	Loss: 751.67	Error: 19.03
train: 7.01 [240.00/560.00 (0.54%)]	Loss: 733.69	Error: 18.30
train: 7.01 [300.00/560.00 (0.71%)]	Loss: 770.19	Error: 19.81
train: 7.01 [360.00/560.00 (0.89%)]	Loss: 646.44	Error: 18.77
train: 7.01 [420.00/560.00 (1.07%)]	Loss: 674.34	Error: 18.94
train: 7.01 [480.00/560.00 (1.25%)]	Loss: 629.13	Error: 18.12
train: 7.01 [540.00/560.00 (1.43%)]	Loss: 562.08	Error: 17.14
train: 7.02 [560.00/560.00 (1.61%)]	Loss: 570.57	Error: 16.12


val: 7.00 [60.00/187.00 (0.00%)]	Loss: 1197.37	Error: 24.70
val: 7.01 [120.00/187.00 (0.53%)]	Loss: 1190.51	Error: 24.33
val: 7.01 [180.00/187.00 (1.07%)]	Loss: 1205.87	Error: 26.24
val: 7.02 [187.00/187.00 (1.60%)]	Loss: 1300.47	Error: 24.74


Saving State Dict: new best loss is tensor(4894.2168, device='cuda:0')
train: 8.00 [60.00/560.00 (0.00%)]	Loss: 557.45	Error: 17.89
train: 8.00 [120.00/560.00 (0.18%)]	Loss: 550.94	Error: 17.12
train: 8.00 [180.00/560.00 (0.36%)]	Loss: 543.50	Error: 17.24
train: 8.01 [240.00/560.00 (0.54%)]	Loss: 501.95	Error: 16.20
train: 8.01 [300.00/560.00 (0.71%)]	Loss: 520.38	Error: 17.16
train: 8.01 [360.00/560.00 (0.89%)]	Loss: 431.77	Error: 15.67
train: 8.01 [420.00/560.00 (1.07%)]	Loss: 437.57	Error: 15.32
train: 8.01 [480.00/560.00 (1.25%)]	Loss: 448.27	Error: 16.75
train: 8.01 [540.00/560.00 (1.43%)]	Loss: 391.18	Error: 14.52
train: 8.02 [560.00/560.00 (1.61%)]	Loss: 439.89	Error: 17.27


val: 8.00 [60.00/187.00 (0.00%)]	Loss: 802.76	Error: 26.07
val: 8.01 [120.00/187.00 (0.53%)]	Loss: 782.38	Error: 25.95
val: 8.01 [180.00/187.00 (1.07%)]	Loss: 796.15	Error: 25.91
val: 8.02 [187.00/187.00 (1.60%)]	Loss: 648.06	Error: 23.61


Saving State Dict: new best loss is tensor(3029.3438, device='cuda:0')
train: 9.00 [60.00/560.00 (0.00%)]	Loss: 388.84	Error: 15.07
train: 9.00 [120.00/560.00 (0.18%)]	Loss: 395.15	Error: 15.48
train: 9.00 [180.00/560.00 (0.36%)]	Loss: 346.46	Error: 14.13
train: 9.01 [240.00/560.00 (0.54%)]	Loss: 286.95	Error: 13.70
train: 9.01 [300.00/560.00 (0.71%)]	Loss: 371.32	Error: 14.94
train: 9.01 [360.00/560.00 (0.89%)]	Loss: 307.69	Error: 13.92
train: 9.01 [420.00/560.00 (1.07%)]	Loss: 289.19	Error: 13.93
train: 9.01 [480.00/560.00 (1.25%)]	Loss: 272.52	Error: 13.79
train: 9.01 [540.00/560.00 (1.43%)]	Loss: 328.35	Error: 15.70
train: 9.02 [560.00/560.00 (1.61%)]	Loss: 291.65	Error: 13.83


val: 9.00 [60.00/187.00 (0.00%)]	Loss: 2277.28	Error: 36.89
val: 9.01 [120.00/187.00 (0.53%)]	Loss: 2435.58	Error: 36.24
val: 9.01 [180.00/187.00 (1.07%)]	Loss: 2416.49	Error: 36.28
val: 9.02 [187.00/187.00 (1.60%)]	Loss: 2247.92	Error: 33.68


train: 10.00 [60.00/560.00 (0.00%)]	Loss: 273.08	Error: 13.82
train: 10.00 [120.00/560.00 (0.18%)]	Loss: 221.64	Error: 11.78
train: 10.00 [180.00/560.00 (0.36%)]	Loss: 277.45	Error: 13.62
train: 10.01 [240.00/560.00 (0.54%)]	Loss: 243.24	Error: 13.11
train: 10.01 [300.00/560.00 (0.71%)]	Loss: 228.24	Error: 12.39
train: 10.01 [360.00/560.00 (0.89%)]	Loss: 216.02	Error: 12.50
train: 10.01 [420.00/560.00 (1.07%)]	Loss: 221.09	Error: 13.20
train: 10.01 [480.00/560.00 (1.25%)]	Loss: 222.37	Error: 12.81
train: 10.01 [540.00/560.00 (1.43%)]	Loss: 174.55	Error: 11.81
train: 10.02 [560.00/560.00 (1.61%)]	Loss: 157.79	Error: 11.03


val: 10.00 [60.00/187.00 (0.00%)]	Loss: 1043.62	Error: 25.69
val: 10.01 [120.00/187.00 (0.53%)]	Loss: 1101.72	Error: 25.18
val: 10.01 [180.00/187.00 (1.07%)]	Loss: 1051.57	Error: 24.64
val: 10.02 [187.00/187.00 (1.60%)]	Loss: 918.60	Error: 19.95


train: 11.00 [60.00/560.00 (0.00%)]	Loss: 170.65	Error: 11.37
train: 11.00 [120.00/560.00 (0.18%)]	Loss: 182.99	Error: 11.54
train: 11.00 [180.00/560.00 (0.36%)]	Loss: 176.48	Error: 12.02
train: 11.01 [240.00/560.00 (0.54%)]	Loss: 157.53	Error: 11.44
train: 11.01 [300.00/560.00 (0.71%)]	Loss: 132.25	Error: 10.32
train: 11.01 [360.00/560.00 (0.89%)]	Loss: 185.46	Error: 12.35
train: 11.01 [420.00/560.00 (1.07%)]	Loss: 135.88	Error: 10.46
train: 11.01 [480.00/560.00 (1.25%)]	Loss: 126.08	Error: 10.19
train: 11.01 [540.00/560.00 (1.43%)]	Loss: 183.81	Error: 12.51
train: 11.02 [560.00/560.00 (1.61%)]	Loss: 164.24	Error: 11.84


val: 11.00 [60.00/187.00 (0.00%)]	Loss: 727.09	Error: 21.76
val: 11.01 [120.00/187.00 (0.53%)]	Loss: 787.05	Error: 22.02
val: 11.01 [180.00/187.00 (1.07%)]	Loss: 813.54	Error: 22.86
val: 11.02 [187.00/187.00 (1.60%)]	Loss: 699.29	Error: 19.72


Saving State Dict: new best loss is tensor(3026.9690, device='cuda:0')
train: 12.00 [60.00/560.00 (0.00%)]	Loss: 136.27	Error: 10.81
train: 12.00 [120.00/560.00 (0.18%)]	Loss: 134.66	Error: 10.74
train: 12.00 [180.00/560.00 (0.36%)]	Loss: 125.31	Error: 10.57
train: 12.01 [240.00/560.00 (0.54%)]	Loss: 140.50	Error: 11.02
train: 12.01 [300.00/560.00 (0.71%)]	Loss: 130.49	Error: 10.55
train: 12.01 [360.00/560.00 (0.89%)]	Loss: 119.02	Error: 10.45
train: 12.01 [420.00/560.00 (1.07%)]	Loss: 134.07	Error: 11.22
train: 12.01 [480.00/560.00 (1.25%)]	Loss: 107.91	Error: 9.82
train: 12.01 [540.00/560.00 (1.43%)]	Loss: 96.50	Error: 9.21
train: 12.02 [560.00/560.00 (1.61%)]	Loss: 117.55	Error: 10.02


val: 12.00 [60.00/187.00 (0.00%)]	Loss: 955.39	Error: 23.51
val: 12.01 [120.00/187.00 (0.53%)]	Loss: 952.35	Error: 24.04
val: 12.01 [180.00/187.00 (1.07%)]	Loss: 913.46	Error: 23.17
val: 12.02 [187.00/187.00 (1.60%)]	Loss: 1023.15	Error: 25.81


train: 13.00 [60.00/560.00 (0.00%)]	Loss: 94.02	Error: 8.78
train: 13.00 [120.00/560.00 (0.18%)]	Loss: 90.71	Error: 9.15
train: 13.00 [180.00/560.00 (0.36%)]	Loss: 73.38	Error: 8.17
train: 13.01 [240.00/560.00 (0.54%)]	Loss: 85.37	Error: 8.63
train: 13.01 [300.00/560.00 (0.71%)]	Loss: 104.27	Error: 9.88
train: 13.01 [360.00/560.00 (0.89%)]	Loss: 98.84	Error: 9.39
train: 13.01 [420.00/560.00 (1.07%)]	Loss: 112.82	Error: 10.49
train: 13.01 [480.00/560.00 (1.25%)]	Loss: 96.87	Error: 9.45
train: 13.01 [540.00/560.00 (1.43%)]	Loss: 85.76	Error: 8.98
train: 13.02 [560.00/560.00 (1.61%)]	Loss: 87.32	Error: 9.04


val: 13.00 [60.00/187.00 (0.00%)]	Loss: 635.41	Error: 20.21
val: 13.01 [120.00/187.00 (0.53%)]	Loss: 627.88	Error: 20.38
val: 13.01 [180.00/187.00 (1.07%)]	Loss: 624.85	Error: 19.41
val: 13.02 [187.00/187.00 (1.60%)]	Loss: 672.21	Error: 20.04


Saving State Dict: new best loss is tensor(2560.3523, device='cuda:0')
train: 14.00 [60.00/560.00 (0.00%)]	Loss: 73.90	Error: 8.27
train: 14.00 [120.00/560.00 (0.18%)]	Loss: 80.97	Error: 8.74
train: 14.00 [180.00/560.00 (0.36%)]	Loss: 82.20	Error: 8.67
train: 14.01 [240.00/560.00 (0.54%)]	Loss: 71.00	Error: 7.95
train: 14.01 [300.00/560.00 (0.71%)]	Loss: 59.77	Error: 7.48
train: 14.01 [360.00/560.00 (0.89%)]	Loss: 66.64	Error: 8.09
train: 14.01 [420.00/560.00 (1.07%)]	Loss: 82.46	Error: 8.96
train: 14.01 [480.00/560.00 (1.25%)]	Loss: 74.11	Error: 8.44
train: 14.01 [540.00/560.00 (1.43%)]	Loss: 58.38	Error: 7.44
train: 14.02 [560.00/560.00 (1.61%)]	Loss: 112.10	Error: 10.50


val: 14.00 [60.00/187.00 (0.00%)]	Loss: 757.47	Error: 22.77
val: 14.01 [120.00/187.00 (0.53%)]	Loss: 875.03	Error: 25.12
val: 14.01 [180.00/187.00 (1.07%)]	Loss: 801.90	Error: 23.98
val: 14.02 [187.00/187.00 (1.60%)]	Loss: 654.50	Error: 18.16


train: 15.00 [60.00/560.00 (0.00%)]	Loss: 63.34	Error: 7.69
train: 15.00 [120.00/560.00 (0.18%)]	Loss: 42.59	Error: 6.39
train: 15.00 [180.00/560.00 (0.36%)]	Loss: 61.08	Error: 7.60
train: 15.01 [240.00/560.00 (0.54%)]	Loss: 55.25	Error: 7.21
train: 15.01 [300.00/560.00 (0.71%)]	Loss: 66.56	Error: 8.05
train: 15.01 [360.00/560.00 (0.89%)]	Loss: 53.69	Error: 7.27
train: 15.01 [420.00/560.00 (1.07%)]	Loss: 45.49	Error: 6.74
train: 15.01 [480.00/560.00 (1.25%)]	Loss: 64.23	Error: 7.74
train: 15.01 [540.00/560.00 (1.43%)]	Loss: 58.50	Error: 7.54
train: 15.02 [560.00/560.00 (1.61%)]	Loss: 44.62	Error: 6.51


val: 15.00 [60.00/187.00 (0.00%)]	Loss: 695.10	Error: 20.97
val: 15.01 [120.00/187.00 (0.53%)]	Loss: 728.26	Error: 20.20
val: 15.01 [180.00/187.00 (1.07%)]	Loss: 733.27	Error: 20.15
val: 15.02 [187.00/187.00 (1.60%)]	Loss: 597.18	Error: 18.20


train: 16.00 [60.00/560.00 (0.00%)]	Loss: 30.47	Error: 5.45
train: 16.00 [120.00/560.00 (0.18%)]	Loss: 63.56	Error: 7.90
train: 16.00 [180.00/560.00 (0.36%)]	Loss: 47.06	Error: 6.79
train: 16.01 [240.00/560.00 (0.54%)]	Loss: 35.67	Error: 5.80
train: 16.01 [300.00/560.00 (0.71%)]	Loss: 41.28	Error: 6.28
train: 16.01 [360.00/560.00 (0.89%)]	Loss: 42.68	Error: 6.47
train: 16.01 [420.00/560.00 (1.07%)]	Loss: 50.43	Error: 7.06
train: 16.01 [480.00/560.00 (1.25%)]	Loss: 40.08	Error: 6.33
train: 16.01 [540.00/560.00 (1.43%)]	Loss: 45.06	Error: 6.67
train: 16.02 [560.00/560.00 (1.61%)]	Loss: 59.11	Error: 7.51


val: 16.00 [60.00/187.00 (0.00%)]	Loss: 754.99	Error: 24.60
val: 16.01 [120.00/187.00 (0.53%)]	Loss: 697.84	Error: 23.39
val: 16.01 [180.00/187.00 (1.07%)]	Loss: 694.81	Error: 23.52
val: 16.02 [187.00/187.00 (1.60%)]	Loss: 706.23	Error: 23.13


train: 17.00 [60.00/560.00 (0.00%)]	Loss: 47.51	Error: 6.58
train: 17.00 [120.00/560.00 (0.18%)]	Loss: 45.30	Error: 6.66
train: 17.00 [180.00/560.00 (0.36%)]	Loss: 37.91	Error: 6.15
train: 17.01 [240.00/560.00 (0.54%)]	Loss: 41.70	Error: 6.18
train: 17.01 [300.00/560.00 (0.71%)]	Loss: 28.07	Error: 5.27
train: 17.01 [360.00/560.00 (0.89%)]	Loss: 42.94	Error: 6.55
train: 17.01 [420.00/560.00 (1.07%)]	Loss: 38.12	Error: 6.10
train: 17.01 [480.00/560.00 (1.25%)]	Loss: 36.71	Error: 5.72
train: 17.01 [540.00/560.00 (1.43%)]	Loss: 37.37	Error: 6.11
train: 17.02 [560.00/560.00 (1.61%)]	Loss: 29.02	Error: 5.26


val: 17.00 [60.00/187.00 (0.00%)]	Loss: 1119950.12	Error: 934.71
val: 17.01 [120.00/187.00 (0.53%)]	Loss: 1122658.25	Error: 935.75
val: 17.01 [180.00/187.00 (1.07%)]	Loss: 1122111.00	Error: 935.65
val: 17.02 [187.00/187.00 (1.60%)]	Loss: 1131443.75	Error: 941.41


train: 18.00 [60.00/560.00 (0.00%)]	Loss: 29.08	Error: 5.24
train: 18.00 [120.00/560.00 (0.18%)]	Loss: 25.49	Error: 5.05
train: 18.00 [180.00/560.00 (0.36%)]	Loss: 29.28	Error: 5.38
train: 18.01 [240.00/560.00 (0.54%)]	Loss: 30.52	Error: 5.44
train: 18.01 [300.00/560.00 (0.71%)]	Loss: 36.32	Error: 5.92
train: 18.01 [360.00/560.00 (0.89%)]	Loss: 32.63	Error: 5.62
train: 18.01 [420.00/560.00 (1.07%)]	Loss: 37.83	Error: 6.06
train: 18.01 [480.00/560.00 (1.25%)]	Loss: 33.14	Error: 5.72
train: 18.01 [540.00/560.00 (1.43%)]	Loss: 32.65	Error: 5.69
train: 18.02 [560.00/560.00 (1.61%)]	Loss: 30.65	Error: 5.37


val: 18.00 [60.00/187.00 (0.00%)]	Loss: 408.75	Error: 18.57
val: 18.01 [120.00/187.00 (0.53%)]	Loss: 425.58	Error: 19.48
val: 18.01 [180.00/187.00 (1.07%)]	Loss: 440.92	Error: 19.76
val: 18.02 [187.00/187.00 (1.60%)]	Loss: 364.15	Error: 17.54


Saving State Dict: new best loss is tensor(1639.3962, device='cuda:0')
train: 19.00 [60.00/560.00 (0.00%)]	Loss: 26.67	Error: 5.15
train: 19.00 [120.00/560.00 (0.18%)]	Loss: 27.21	Error: 5.19
train: 19.00 [180.00/560.00 (0.36%)]	Loss: 20.12	Error: 4.44
train: 19.01 [240.00/560.00 (0.54%)]	Loss: 36.56	Error: 6.01
train: 19.01 [300.00/560.00 (0.71%)]	Loss: 28.23	Error: 5.28
train: 19.01 [360.00/560.00 (0.89%)]	Loss: 16.01	Error: 3.99
train: 19.01 [420.00/560.00 (1.07%)]	Loss: 26.72	Error: 5.11
train: 19.01 [480.00/560.00 (1.25%)]	Loss: 26.09	Error: 5.00
train: 19.01 [540.00/560.00 (1.43%)]	Loss: 28.95	Error: 5.22
train: 19.02 [560.00/560.00 (1.61%)]	Loss: 44.13	Error: 6.53


val: 19.00 [60.00/187.00 (0.00%)]	Loss: 391.25	Error: 17.85
val: 19.01 [120.00/187.00 (0.53%)]	Loss: 430.67	Error: 18.19
val: 19.01 [180.00/187.00 (1.07%)]	Loss: 411.34	Error: 18.27
val: 19.02 [187.00/187.00 (1.60%)]	Loss: 416.66	Error: 17.62


train: 20.00 [60.00/560.00 (0.00%)]	Loss: 31.90	Error: 5.60
train: 20.00 [120.00/560.00 (0.18%)]	Loss: 15.92	Error: 3.94
train: 20.00 [180.00/560.00 (0.36%)]	Loss: 23.25	Error: 4.73
train: 20.01 [240.00/560.00 (0.54%)]	Loss: 19.60	Error: 4.37
train: 20.01 [300.00/560.00 (0.71%)]	Loss: 17.25	Error: 4.13
train: 20.01 [360.00/560.00 (0.89%)]	Loss: 25.08	Error: 4.92
train: 20.01 [420.00/560.00 (1.07%)]	Loss: 36.13	Error: 5.96
train: 20.01 [480.00/560.00 (1.25%)]	Loss: 27.40	Error: 5.18
train: 20.01 [540.00/560.00 (1.43%)]	Loss: 18.40	Error: 4.24
train: 20.02 [560.00/560.00 (1.61%)]	Loss: 17.04	Error: 4.05


val: 20.00 [60.00/187.00 (0.00%)]	Loss: 219803.81	Error: 416.17
val: 20.01 [120.00/187.00 (0.53%)]	Loss: 219793.92	Error: 416.53
val: 20.01 [180.00/187.00 (1.07%)]	Loss: 219806.80	Error: 416.75
val: 20.02 [187.00/187.00 (1.60%)]	Loss: 218503.69	Error: 413.88


train: 21.00 [60.00/560.00 (0.00%)]	Loss: 21.74	Error: 4.61
train: 21.00 [120.00/560.00 (0.18%)]	Loss: 12.46	Error: 3.49
train: 21.00 [180.00/560.00 (0.36%)]	Loss: 46.83	Error: 6.75
train: 21.01 [240.00/560.00 (0.54%)]	Loss: 17.21	Error: 4.01
train: 21.01 [300.00/560.00 (0.71%)]	Loss: 18.92	Error: 4.26
train: 21.01 [360.00/560.00 (0.89%)]	Loss: 30.81	Error: 5.35
train: 21.01 [420.00/560.00 (1.07%)]	Loss: 15.58	Error: 3.91
train: 21.01 [480.00/560.00 (1.25%)]	Loss: 22.73	Error: 4.68
train: 21.01 [540.00/560.00 (1.43%)]	Loss: 31.63	Error: 5.33
train: 21.02 [560.00/560.00 (1.61%)]	Loss: 28.37	Error: 5.28


val: 21.00 [60.00/187.00 (0.00%)]	Loss: 567.97	Error: 22.40
val: 21.01 [120.00/187.00 (0.53%)]	Loss: 600.01	Error: 22.36
val: 21.01 [180.00/187.00 (1.07%)]	Loss: 588.35	Error: 21.99
val: 21.02 [187.00/187.00 (1.60%)]	Loss: 490.43	Error: 20.30


train: 22.00 [60.00/560.00 (0.00%)]	Loss: 16.39	Error: 4.00
train: 22.00 [120.00/560.00 (0.18%)]	Loss: 26.59	Error: 5.09
train: 22.00 [180.00/560.00 (0.36%)]	Loss: 29.25	Error: 5.31
train: 22.01 [240.00/560.00 (0.54%)]	Loss: 22.42	Error: 4.42
train: 22.01 [300.00/560.00 (0.71%)]	Loss: 24.12	Error: 4.84
train: 22.01 [360.00/560.00 (0.89%)]	Loss: 31.88	Error: 5.61
train: 22.01 [420.00/560.00 (1.07%)]	Loss: 26.77	Error: 5.10
train: 22.01 [480.00/560.00 (1.25%)]	Loss: 13.05	Error: 3.57
train: 22.01 [540.00/560.00 (1.43%)]	Loss: 14.77	Error: 3.84
train: 22.02 [560.00/560.00 (1.61%)]	Loss: 9.45	Error: 2.98


val: 22.00 [60.00/187.00 (0.00%)]	Loss: 307.93	Error: 16.41
val: 22.01 [120.00/187.00 (0.53%)]	Loss: 352.18	Error: 17.52
val: 22.01 [180.00/187.00 (1.07%)]	Loss: 375.29	Error: 17.62
val: 22.02 [187.00/187.00 (1.60%)]	Loss: 340.58	Error: 16.49


Saving State Dict: new best loss is tensor(1375.9755, device='cuda:0')
train: 23.00 [60.00/560.00 (0.00%)]	Loss: 18.43	Error: 4.23
